City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Konakovo,RU,2022-04-17 04:22:48,56.7,36.7667,30.31,79,6,9.17
246,Vila Velha,BR,2022-04-17 04:22:49,-20.3297,-40.2925,72.95,77,0,4.61
247,Chuy,UY,2022-04-17 04:22:49,-33.6971,-53.4616,58.82,86,5,3.47
248,Itapirapua,BR,2022-04-17 04:22:49,-15.8233,-50.6133,65.91,63,30,5.7
249,Chicama,PE,2022-04-17 04:22:50,-7.8447,-79.1469,61.34,81,48,5.21
250,Araouane,ML,2022-04-17 04:22:50,18.9048,-3.5265,70.68,21,1,10.69
251,Maniitsoq,GL,2022-04-17 04:22:50,65.4167,-52.9,18.39,66,2,5.75
252,Aklavik,CA,2022-04-17 04:22:51,68.2191,-135.0107,8.91,87,22,12.39
253,Erenhot,CN,2022-04-17 04:22:51,43.6475,111.9767,55.04,19,99,7.76
254,Nantucket,US,2022-04-17 04:21:33,41.2835,-70.0995,48.34,87,100,24.16
255,Sassandra,CI,2022-04-17 04:22:51,4.95,-6.0833,74.07,93,99,8.52
256,Naze,JP,2022-04-17 04:22:52,28.3667,129.4833,70.72,55,88,10.25
257,Aquin,HT,2022-04-17 04:22:52,18.2833,-73.4,74.26,82,46,2.62
258,Ugoofaaru,MV,2022-04-17 04:22:53,5.6667,73.0,84.58,72,81,7.0
259,Coquimbo,CL,2022-04-17 04:22:53,-29.9533,-71.3436,55.13,87,40,2.3
260,Birigui,BR,2022-04-17 04:22:53,-21.2886,-50.34,58.62,76,0,8.32
261,Mount Isa,AU,2022-04-17 04:22:53,-20.7333,139.5,92.97,16,5,10.36
262,Jatai,BR,2022-04-17 04:22:54,-17.8814,-51.7144,56.12,66,2,4.61
263,Sabya,SA,2022-04-17 04:22:54,17.1495,42.6254,82.02,59,56,4.12
264,Samsun,TR,2022-04-17 04:22:54,41.25,36.3333,55.99,69,0,0.0
265,Olinda,BR,2022-04-17 04:22:55,-8.0089,-34.8553,82.13,78,40,10.36
266,New Norfolk,AU,2022-04-17 04:22:55,-42.7826,147.0587,80.92,33,100,5.99
267,Itanhem,BR,2022-04-17 04:22:55,-17.1664,-40.33,69.26,86,100,1.99
268,Cidreira,BR,2022-04-17 04:22:56,-30.1811,-50.2056,65.93,72,79,6.42
269,Bengkulu,ID,2022-04-17 04:22:56,-3.8004,102.2655,85.86,66,83,5.46
270,Petropavlovsk-Kamchatskiy,RU,2022-04-17 04:22:57,53.0452,158.6483,41.59,31,0,13.42
271,Gamba,GA,2022-04-17 04:22:57,-2.65,10.0,75.6,93,63,3.67
272,Broken Hill,AU,2022-04-17 04:22:57,-31.95,141.4333,83.93,22,28,15.82
273,Kangaatsiaq,GL,2022-04-17 04:22:58,68.3065,-53.4641,-5.84,97,20,7.72
