City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Parfenyevo,RU,58.484,43.4088,25.32,86,12,6.11,few clouds
261,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,24.16,scattered clouds
262,Nova Vicosa,BR,-17.8919,-39.3719,77.95,70,100,13.73,overcast clouds
263,Norman Wells,CA,65.282,-126.8329,17.64,38,0,4.61,clear sky
264,College,US,64.8569,-147.8028,35.55,31,20,16.11,few clouds
265,Maragogi,BR,-9.0122,-35.2225,78.73,88,92,7.4,overcast clouds
266,Port Elizabeth,ZA,-33.918,25.5701,61.32,90,20,8.05,few clouds
267,Rosignol,GY,6.2833,-57.5333,75.81,83,48,6.78,scattered clouds
268,Kashary,RU,49.04,41.0056,49.77,78,100,6.71,overcast clouds
269,Isny,DE,47.7,10.0333,37.8,60,5,4.0,clear sky
270,Christchurch,NZ,-43.5333,172.6333,57.94,81,100,11.5,overcast clouds
271,Staroutkinsk,RU,57.2302,59.3348,27.84,83,74,5.35,broken clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.37,76,34,10.2,scattered clouds
273,Kyshtovka,RU,56.555,76.6271,45.88,79,98,9.4,overcast clouds
274,Valparaiso,CL,-33.0393,-71.6273,57.47,73,0,3.44,clear sky
275,Chuy,UY,-33.6971,-53.4616,59.18,85,0,5.39,clear sky
276,Hope,US,33.6671,-93.5916,66.25,98,100,10.11,overcast clouds
277,Nokaneng,BW,-19.6667,22.2667,65.59,85,99,6.58,overcast clouds
278,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,80,0,11.5,clear sky
279,Mehamn,NO,71.0357,27.8492,37.33,89,100,29.53,overcast clouds
280,Asau,RO,46.4333,26.4,36.52,90,100,5.93,light rain
281,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,33,0,8.95,clear sky
282,Sand Springs,US,36.1398,-96.1089,57.78,46,100,10.36,overcast clouds
283,Alice Springs,AU,-23.7,133.8833,89.15,18,16,13.8,few clouds
284,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,37.6,68,100,7.14,overcast clouds
285,Mitsamiouli,KM,-11.3847,43.2844,81.21,77,6,3.15,light rain
286,Roma,US,43.2128,-75.4557,41.14,84,100,6.91,overcast clouds
287,Chistogorskiy,RU,53.9835,87.3843,50.22,63,26,5.5,scattered clouds
288,Lawrenceburg,US,38.0373,-84.8966,52.99,68,100,9.06,overcast clouds
289,Warman,CA,52.3168,-106.5679,33.71,21,20,11.5,few clouds
290,Fort Myers Beach,US,26.452,-81.9481,79.02,82,77,3.0,moderate rain
291,Zapolyarnyy,RU,69.4154,30.8136,36.68,97,100,25.72,overcast clouds
292,Shieli,KZ,44.1667,66.75,58.66,60,100,14.61,overcast clouds
293,Mareeba,AU,-17.0,145.4333,80.44,69,100,7.0,overcast clouds
294,Stornoway,GB,58.2093,-6.3865,49.93,92,100,5.99,light rain
295,Bac Lieu,VN,9.285,105.7244,85.19,66,45,11.5,scattered clouds
296,Wattens,AT,47.2722,11.5993,37.42,85,22,2.3,few clouds
297,Bubaque,GW,11.2833,-15.8333,75.09,71,15,23.02,few clouds
298,Pochutla,MX,15.7432,-96.4661,85.82,66,10,7.18,clear sky
299,Freeport,US,40.6576,-73.5832,52.05,70,95,7.0,overcast clouds
300,Igarka,RU,67.4667,86.5833,20.08,91,100,19.46,overcast clouds
301,Ukiah,US,39.1502,-123.2078,58.89,59,0,10.36,clear sky
302,Monrovia,LR,6.3005,-10.7969,79.23,86,100,3.36,light rain
303,Tura,IN,25.5198,90.2201,76.64,79,3,5.86,clear sky
304,Abha,SA,18.2164,42.5053,62.42,39,0,0.0,clear sky
305,Bara,NG,10.3744,10.7288,81.93,55,91,7.0,overcast clouds
306,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,35.94,92,100,1.74,overcast clouds
307,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,82,0,12.66,clear sky
308,Umm Lajj,SA,25.0213,37.2685,79.18,40,0,9.4,clear sky
309,Bracebridge,CA,45.0334,-79.3163,30.69,55,100,6.91,overcast clouds
310,Kaka,TM,37.3482,59.6143,57.22,71,100,10.83,overcast clouds
311,Gazojak,TM,41.1875,61.4036,57.61,64,99,13.11,overcast clouds
312,Mandurah,AU,-32.55,115.7,64.9,55,0,11.77,clear sky
313,Carauari,BR,-4.8828,-66.8958,73.24,99,99,1.14,overcast clouds
314,Marawi,PH,7.9986,124.2928,79.0,66,95,3.56,overcast clouds
315,Rocha,UY,-34.4833,-54.3333,53.83,91,0,1.79,clear sky
316,Avera,US,33.194,-82.5271,63.91,93,100,0.98,overcast clouds
317,Dingle,PH,10.9995,122.6711,84.9,69,100,8.5,overcast clouds
318,Zhezkazgan,KZ,47.8043,67.7144,49.98,66,0,17.9,clear sky
319,Hirado,JP,33.3597,129.5531,61.39,52,1,5.28,clear sky
320,Ilulissat,GL,69.2167,-51.1,-8.21,92,10,5.86,clear sky
321,Mizque,BO,-17.941,-65.3402,57.92,79,97,4.65,overcast clouds
322,Podyuga,RU,61.095,40.8647,18.68,98,47,2.77,scattered clouds
323,Oranjemund,NA,-28.55,16.4333,57.31,78,0,4.36,clear sky
324,Wewak,PG,-3.5534,143.6268,86.23,65,43,5.17,scattered clouds
325,Turukhansk,RU,65.8167,87.9833,25.16,95,100,18.32,light snow
326,Beloha,MG,-25.1667,45.05,72.05,93,57,7.05,broken clouds
327,Coihaique,CL,-45.5752,-72.0662,46.35,81,0,5.75,clear sky
328,Salalah,OM,17.0151,54.0924,80.69,83,20,4.61,few clouds
329,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,91,99,9.08,overcast clouds
330,Booue,GA,-0.0921,11.9385,75.15,95,95,1.3,overcast clouds
331,Rossland,CA,49.0831,-117.8022,37.72,37,100,5.99,overcast clouds
332,Ulaanbaatar,MN,47.9077,106.8832,42.93,26,0,2.24,clear sky
